compound,headgroup,chain1_n,chain2_n,formula,neutral_mass,adduct,target_mz
diacyl-lysine-3OH-C16:0/C14:0,lysine,16,14,C36H70N2O5,610.5284733539,[M+NH4]+,628.5622989067
diacyl-ornithine-3OH-C15:0/C16:0,ornithine,15,16,C36H70N2O5,610.5284733539,[M+NH4]+,628.5622989067
diacyl-lysine-3OH-C15:0/C15:0,lysine,15,15,C36H70N2O5,610.5284733539,[M+NH4]+,628.5622989067
diacyl-lysine-3OH-C15:0/C15:0,lysine,15,15,C36H70N2O5,610.5284733539,[M+Na]+,633.5176940539001
diacyl-lysine-3OH-C14:0/C16:0,lysine,14,16,C36H70N2O5,610.5284733539,[M+Na]+,633.5176940539001
diacyl-ornithine-3OH-C15:0/C16:0,ornithine,15,16,C36H70N2O5,610.5284733539,[M+Na]+,633.5176940539001
diacyl-ornithine-3OH-C16:0/C15:0,ornithine,16,15,C36H70N2O5,610.5284733539,[M+Na]+,633.5176940539001
diacyl-ornithine-3OH-C14:0/C17:0,ornithine,14,17,C36H70N2O5,610.5284733539,[M+Na]+,633.5176940539001
diacyl-lysine-3OH-C12:0/C18:0,lysine,12,18,C36H70N2O5,610.5284733539,[M+Na]+,633.5176940539001
diacyl-lysine-3OH-C18:0/C12:0,lysine,18,12,C36H70N2O5,610.5284733539,[M+Na]+,633.5176940539001
diacyl-lysine-3OH-C16:0/C14:0,lysine,16,14,C36H70N2O5,610.5284733539,[M+Na]+,633.5176940539001
diacyl-ornithine-3OH-C17:0/C14:0,ornithine,17,14,C36H70N2O5,610.5284733539,[M+Na]+,633.5176940539001
diacyl-lysine-3OH-C18:0/C14:0,lysine,18,14,C38H74N2O5,638.5597734815001,[M+H]+,639.5670499334001
diacyl-lysine-3OH-C17:0/C15:0,lysine,17,15,C38H74N2O5,638.5597734815001,[M+H]+,639.5670499334001
diacyl-ornithine-3OH-C15:0/C18:0,ornithine,15,18,C38H74N2O5,638.5597734815001,[M+H]+,639.5670499334001
diacyl-ornithine-3OH-C17:0/C16:0,ornithine,17,16,C38H74N2O5,638.5597734815001,[M+H]+,639.5670499334001
diacyl-lysine-3OH-C15:0/C17:0,lysine,15,17,C38H74N2O5,638.5597734815001,[M+H]+,639.5670499334001
diacyl-lysine-3OH-C14:0/C18:0,lysine,14,18,C38H74N2O5,638.5597734815001,[M+H]+,639.5670499334001
diacyl-ornithine-3OH-C18:0/C15:0,ornithine,18,15,C38H74N2O5,638.5597734815001,[M+H]+,639.5670499334001
diacyl-ornithine-3OH-C16:0/C17:0,ornithine,16,17,C38H74N2O5,638.5597734815001,[M+H]+,639.5670499334001
diacyl-lysine-3OH-C16:0/C16:0,lysine,16,16,C38H74N2O5,638.5597734815001,[M+H]+,639.5670499334001
diacyl-ornithine-3OH-C18:0/C14:0,ornithine,18,14,C37H72N2O5,624.5441234177,[M+NH4]+,642.5779489705
diacyl-ornithine-3OH-C17:0/C15:0,ornithine,17,15,C37H72N2O5,624.5441234177,[M+NH4]+,642.5779489705
diacyl-ornithine-3OH-C16:0/C16:0,ornithine,16,16,C37H72N2O5,624.5441234177,[M+NH4]+,642.5779489705
diacyl-lysine-3OH-C15:0/C16:0,lysine,15,16,C37H72N2O5,624.5441234177,[M+NH4]+,642.5779489705
diacyl-ornithine-3OH-C14:0/C18:0,ornithine,14,18,C37H72N2O5,624.5441234177,[M+NH4]+,642.5779489705
